store,title,platform,price,release_date
epic_games_store,Lumberjack's Dynasty,PC,7.07,2021-04-29
epic_games_store,Inside,PC,7.14,2016-07-07
epic_games_store,Outward,PC,30.4,2019-03-26
epic_games_store,FORECLOSED,PC,5.87,2021-08-12
epic_games_store,Boomerang X,PC,8.39,2021-07-08
epic_games_store,Elite Dangerous,PC,23.24,2020-11-19
epic_games_store,Wolfenstein: The Old Blood,PC,14.15,2021-09-09
epic_games_store,Werewolf: The Apocalypse - Earthblood,PC,13.19,2020-12-14
epic_games_store,Sky Racket,PC,4.19,2021-09-21
epic_games_store,The Town of Light,PC,5.63,2021-11-02
epic_games_store,Dangerous Driving,PC,9.83,2019-04-09
epic_games_store,Redout: Solar Challenge Edition,PC,8.51,2021-09-01
epic_games_store,GRIME,PC,7.07,2021-08-02
epic_games_store,Death's Door,PC,8.39,2021-07-22
epic_games_store,WE ARE FOOTBALL,PC,18.96,2021-06-10
epic_games_store,Jotun: Valhalla Edition,PC,5.51,2019-12-06
epic_games_store,Moonlighter,PC,6.25,2018-05-29
epic_games_store,Verdun,PC,7.19,2021-07-22
epic_games_store,Fort Triumph,PC,6.35,2021-08-17
epic_games_store,Spiritfarer®: Farewell Edition,PC,8.39,2020-08-18
epic_games_store,Totally Accurate Battle Simulator,PC,5.63,2019-04-01
epic_games_store,Alluris,PC,4.16,2020-08-27
epic_games_store,DISC ROOM,PC,7.14,2020-10-22
epic_games_store,Assassin's Creed Origins,PC,35.99,2017-10-26
epic_games_store,Nioh: The Complete Edition,PC,29.99,2021-09-09
epic_games_store,A Juggler's Tale,PC,5.99,2020-08-27
epic_games_store,Tunche,PC,5.63,2021-11-02
epic_games_store,Kill It With Fire,PC,4.19,2020-08-13
epic_games_store,Kingdoms of Amalur: Re-Reckoning,PC,17.48,2020-09-08
epic_games_store,Last Day of June,PC,7.14,2017-08-31
epic_games_store,Inscryption,PC,8.39,2021-10-20
epic_games_store,Hundred Days - Winemaking Simulator,PC,7.07,2021-05-13
epic_games_store,Grand Theft Auto V,PC,27.86,2020-05-14
epic_games_store,InnerSpace,PC,6.25,2018-01-16
epic_games_store,Godstrike,PC,4.19,2021-10-14
epic_games_store,Death Coming,PC,3.8,2020-05-07
epic_games_store,Assassins Creed Odyssey,PC,35.99,2018-10-05
epic_games_store,Layers of Fear 2,PC,5.63,2020-10-22
epic_games_store,DARQ: Complete Edition,PC,5.63,2021-10-28
epic_games_store,Bloodroots,PC,7.14,2020-02-28
epic_games_store,Mount & Blade II,PC,29.99,2020-06-18
epic_games_store,Next Up Hero,PC,6.76,2020-07-23
epic_games_store,Murder by Numbers,PC,4.19,2021-03-23
epic_games_store,The Pathless,PC,11.62,2020-11-12
epic_games_store,SpellForce 3: Soul Harvest,PC,9.71,2021-07-16
epic_games_store,Deliver Us The Moon,PC,7.07,2021-11-02
epic_games_store,Asemblance: Oversight,PC,2.27,2021-09-03
epic_games_store,Tyranny - Gold Edition,PC,13.19,2020-12-10
epic_games_store,Olija,PC,5.51,2021-01-28
epic_games_store,Outer Wilds,PC,8.94,2019-05-28
epic_games_store,Encased,PC,8.39,2021-09-07
epic_games_store,Maneater,PC,13.4,2020-05-22
epic_games_store,Crash Drive 3,PC,5.63,2021-07-08
epic_games_store,Darksiders Warmastered Edition,PC,8.39,2016-11-26
epic_games_store,Realpolitiks 2,PC,10.79,2021-05-12
epic_games_store,Sherlock Holmes: The Devil's Daughter,PC,17.99,2021-06-25
epic_games_store,Before Your Eyes,PC,4.19,2021-04-08
epic_games_store,Cozy Grove,PC,5.51,2021-04-08
epic_games_store,Gods Will Fall,PC,5.51,2021-01-29
epic_games_store,Axiom Verge 2,PC,5.63,2021-08-12
epic_games_store,Air Missions: HIND,PC,5.63,2021-09-27
epic_games_store,Cruel Bands Career,PC,1.07,2021-09-30
epic_games_store,Milky Way Prince – The Vampire Star,PC,4.19,2020-08-13
epic_games_store,Pascal's Wager: Definitive Edition,PC,5.63,2021-06-23
epic_games_store,Pathway,PC,6.3,2020-06-11
epic_games_store,Untitled Goose Game,PC,7.14,2019-09-20
epic_games_store,Carnival Games,PC,33.59,2020-11-20
epic_games_store,OMNO,PC,5.39,2021-07-29
epic_games_store,Barony,PC,5.46,2020-07-30
epic_games_store,Foregone,PC,5.63,2020-02-26
epic_games_store,Dead Age 2,PC,5.99,2021-09-02
epic_games_store,HUMANKIND™,PC,28.79,2021-08-17
epic_games_store,Corruption 2029,PC,7.14,2020-02-07
epic_games_store,Sundered: Eldritch Edition,PC,6.35,2017-07-28
epic_games_store,The Binding of Isaac: Repentance,PC,14.15,2021-03-31
epic_games_store,CastleStorm II,PC,5.63,2020-09-23
